Timestamp,Relative_Time,Raw_Value,Angle,Velocity
1782874321.8578634,0.0001,10,115.14,0.00
1782874321.8579304,0.0002,1311,115.22,1194.11
1782874321.85799,0.0002,1311,115.22,0.00
1782874321.8580453,0.0003,1311,115.22,439.77
1782874321.858103,0.0004,1310,115.14,-463.46
1782874321.8581572,0.0004,1311,115.22,0.00
1782874321.8582106,0.0005,1311,115.22,0.00
1782874321.858264,0.0005,1310,115.14,0.00
1782874321.8583179,0.0006,1310,115.14,-497.84
1782874321.858371,0.0006,1311,115.22,0.00
1782874321.858435,0.0007,1311,115.22,467.98
1782874321.8584876,0.0007,1310,115.14,0.00
1782874321.8585544,0.0008,1311,115.22,0.00
1782874321.8586037,0.0009,1311,115.22,0.00
1782874321.8586462,0.0009,1310,115.14,0.00
1782874321.858689,0.0009,1331,116.98,13065.44
1782874321.858732,0.0010,1332,117.07,14422.79
1782874321.8587751,0.0010,1334,117.25,16358.56
1782874321.8588176,0.0011,1333,117.16,1400.70
1782874321.858862,0.0011,1318,115.84,-9466.04
1782874321.8589194,0.0012,1299,114.17,-21352.82
1782874321.8589618,0.0012,1305,114.70,-17054.53
1782874321.8590043,0.0013,1346,118.30,17283.06
1782874321.8590467,0.0013,1359,119.44,41393.22
1782874321.859089,0.0013,1360,119.53,38008.42
1782874321.859133,0.0014,1360,119.53,9553.69
1782874321.8591752,0.0014,1361,119.62,1400.70
1782874321.8592174,0.0015,1351,118.74,-6147.50
1782874321.8592594,0.0015,1412,124.10,36165.98
1782874321.8593013,0.0016,1412,124.10,35520.76
1782874321.8593526,0.0016,1424,125.16,47491.06
1782874321.8593948,0.0016,1424,125.16,7827.40
1782874321.859437,0.0017,1423,125.07,7150.22
1782874321.85948,0.0017,1424,125.16,0.00
1782874321.859522,0.0018,1423,125.07,-706.91
1782874321.8595684,0.0018,1424,125.16,685.10
1782874321.8596108,0.0019,1423,125.07,-687.59
1782874321.8596532,0.0019,1422,124.98,-686.34
1782874321.8596954,0.0019,1423,125.07,-708.23
1782874321.8597376,0.0020,1424,125.16,709.56
1782874321.859789,0.0020,1424,125.16,1326.84
1782874321.8598351,0.0021,1424,125.16,644.18
1782874321.8598769,0.0021,1424,125.16,0.00
1782874321.8599188,0.0022,1423,125.07,-692.64
1782874321.8599606,0.0022,1424,125.16,0.00
1782874321.8600023,0.0023,1423,125.07,-717.66
1782874321.8600442,0.0023,1428,125.51,3508.54
1782874321.8600862,0.0023,1428,125.51,2785.59
1782874321.860128,0.0024,1427,125.42,2785.59
1782874321.86017,0.0024,1428,125.51,0.00
1782874321.8602197,0.0025,1428,125.51,0.00
1782874321.8602617,0.0025,1429,125.60,1345.77
1782874321.8603034,0.0026,1429,125.60,674.08
1782874321.8603456,0.0026,1429,125.60,714.94
1782874321.8603873,0.0026,1429,125.60,0.00
1782874321.860429,0.0027,1430,125.68,636.71
1782874321.8604708,0.0027,1429,125.60,0.00
1782874321.8605125,0.0028,1430,125.68,639.13
1782874321.8605595,0.0028,1428,125.51,-1303.53
1782874321.8606014,0.0029,1429,125.60,0.00
1782874321.8606513,0.0029,1429,125.60,-576.54
1782874321.860693,0.0029,1429,125.60,674.08
1782874321.860735,0.0030,1428,125.51,-674.08
1782874321.8607767,0.0030,1428,125.51,-717.66
1782874321.8608184,0.0031,1428,125.51,-717.66
1782874321.8608608,0.0031,1428,125.51,0.00
1782874321.860903,0.0032,1429,125.60,712.24
1782874321.8609447,0.0032,1429,125.60,712.24
1782874321.8609865,0.0032,1429,125.60,716.29
1782874321.86103,0.0033,1428,125.51,-708.23
1782874321.8610785,0.0033,1428,125.51,-672.88
1782874321.8611202,0.0034,1428,125.51,-672.88
1782874321.8611627,0.0034,1428,125.51,0.00
1782874321.8612044,0.0035,1429,125.60,714.94
1782874321.8612463,0.0035,1430,125.68,1347.89
1782874321.8612885,0.0035,1430,125.68,1350.44
1782874321.8613305,0.0036,1429,125.60,0.00
1782874321.8613732,0.0036,1430,125.68,0.00
1782874321.8614151,0.0037,1429,125.60,-631.91
1782874321.8614569,0.0037,1430,125.68,633.10
1782874321.8615048,0.0038,1429,125.60,-607.87
1782874321.8615537,0.0038,1429,125.60,0.00
1782874321.8615952,0.0038,1429,125.60,-578.52
1782874321.861637,0.0039,1429,125.60,0.00
1782874321.8616788,0.0039,1429,125.60,0.00
1782874321.8617208,0.0040,1430,125.68,636.71
1782874321.8617628,0.0040,1429,125.60,0.00
1782874321.8618042,0.0041,1430,125.68,637.92
1782874321.861846,0.0041,1429,125.60,-639.13
1782874321.8618877,0.0041,1430,125.68,640.35
1782874321.8619401,0.0042,1428,125.51,-1250.93
1782874321.861982,0.0042,1430,125.68,587.64
1782874321.8620243,0.0043,1430,125.68,0.00
1782874321.8620667,0.0043,1429,125.60,710.90
1782874321.8621085,0.0044,1429,125.60,-633.10
1782874321.86215,0.0044,1429,125.60,-636.71
1782874321.862192,0.0044,1429,125.60,0.00
1782874321.8622336,0.0045,1430,125.68,639.13
1782874321.8622754,0.0045,1430,125.68,637.92
1782874321.862317,0.0046,1429,125.60,0.00
1782874321.8623667,0.0046,1430,125.68,0.00
1782874321.8624103,0.0047,1434,126.04,2667.76
1782874321.8624523,0.0047,1433,125.95,2589.08
1782874321.862494,0.0047,1433,125.95,2120.72
1782874321.8625364,0.0048,1434,126.04,0.00
1782874321.8625836,0.0048,1433,125.95,0.00
1782874321.8626254,0.0049,1434,126.04,685.10
1782874321.862667,0.0049,1433,125.95,-688.85
1782874321.8627088,0.0050,1434,126.04,719.02
1782874321.8627512,0.0050,1433,125.95,-714.94
1782874321.8628004,0.0051,1434,126.04,675.29
1782874321.862842,0.0051,1435,126.12,600.26
1782874321.8628838,0.0051,1435,126.12,1282.43
1782874321.8629255,0.0052,1434,126.04,0.00
1782874321.862967,0.0052,1434,126.04,-640.35
1782874321.8630087,0.0053,1435,126.12,0.00
1782874321.8630505,0.0053,1435,126.12,640.35
1782874321.8630867,0.0053,574,50.45,-631568.60
1782874321.863123,0.0054,574,50.45,-662594.96
1782874321.863159,0.0054,574,50.45,-697545.02
1782874321.8632028,0.0055,575,50.54,775.13
1782874321.8632395,0.0055,574,50.45,0.00
1782874321.863276,0.0055,574,50.45,0.00
1782874321.8633127,0.0056,574,50.45,-818.84
1782874321.8633487,0.0056,589,51.77,12088.39
1782874321.8633852,0.0056,591,51.94,13645.22
1782874321.8634214,0.0057,598,52.56,19407.85
1782874321.8634574,0.0057,600,52.73,8830.11
1782874321.8634937,0.0057,599,52.65,6544.96
1782874321.863531,0.0058,599,52.65,820.62
1782874321.863577,0.0058,600,52.73,0.00
1782874321.863613,0.0059,610,53.61,8053.06
1782874321.8636491,0.0059,608,53.44,6693.94
1782874321.8636873,0.0059,608,53.44,6431.87
1782874321.8637235,0.0060,608,53.44,-1536.71
1782874321.8637595,0.0060,608,53.44,0.00
1782874321.863796,0.0060,608,53.44,0.00
1782874321.863832,0.0061,608,53.44,0.00
1782874321.863868,0.0061,608,53.44,0.00
1782874321.8639042,0.0062,609,53.53,831.47
1782874321.8639452,0.0062,609,53.53,794.71
1782874321.8639848,0.0062,609,53.53,770.38
1782874321.864021,0.0063,609,53.53,0.00
1782874321.8640568,0.0063,609,53.53,0.00
1782874321.864093,0.0063,609,53.53,0.00
1782874321.8641293,0.0064,610,53.61,739.08
1782874321.8641653,0.0064,609,53.53,0.00
1782874321.8642013,0.0065,605,53.17,-3325.88
1782874321.8642373,0.0065,587,51.59,-18703.08
1782874321.8642743,0.0065,552,48.52,-45981.32
1782874321.864317,0.0066,540,47.46,-49380.36
1782874321.8643532,0.0066,527,46.32,-45481.44
1782874321.8643894,0.0066,523,45.97,-22143.84
1782874321.8644254,0.0067,521,45.79,-15394.48
1782874321.864462,0.0067,522,45.88,-4047.14
1782874321.864498,0.0067,521,45.79,-1659.29
1782874321.8645358,0.0068,521,45.79,0.00
1782874321.8645797,0.0068,520,45.70,-1528.29
1782874321.864616,0.0069,519,45.62,-1440.47
1782874321.8646524,0.0069,518,45.53,-2230.10
1782874321.864697,0.0069,524,46.05,2983.75
1782874321.8647337,0.0070,555,48.78,26829.96
1782874321.86477,0.0070,554,48.69,26884.38
1782874321.8648067,0.0071,554,48.69,24071.66
1782874321.864843,0.0071,554,48.69,-824.21
1782874321.8648794,0.0071,553,48.60,-822.41
1782874321.8649156,0.0072,554,48.69,0.00
1782874321.864952,0.0072,554,48.69,0.00
1782874321.8649883,0.0072,554,48.69,826.01
1782874321.865025,0.0073,554,48.69,0.00
1782874321.8650675,0.0073,554,48.69,0.00
1782874321.865104,0.0074,554,48.69,0.00
1782874321.8651402,0.0074,555,48.78,781.55
1782874321.8651774,0.0074,554,48.69,0.00
