Ref_Angle,Raw_Value_Mean,Measured_Angle_Raw,Corrected_Angle,Raw_Error,Corrected_Error
0.0,2654.58,233.31,0.00,-126.69,0.00
0.0,2715.68,238.68,5.37,-121.32,5.37
15.0,2477.35,217.74,344.43,-157.26,-30.57
30.0,2329.35,204.73,331.42,174.73,-58.58
45.0,2144.63,188.50,315.18,143.50,-89.82
45.0,2142.22,188.28,314.97,143.28,-90.03
60.0,1994.40,175.29,301.98,115.29,-118.02
75.0,1826.03,160.49,287.18,85.49,-147.82
90.0,1634.29,143.64,270.33,53.64,-179.67
105.0,1476.22,129.75,256.44,24.75,151.44
120.0,1310.83,115.21,241.89,-4.79,121.89
135.0,1148.35,100.93,227.62,-34.07,92.62
150.0,949.61,83.46,210.15,-66.54,60.15
165.0,752.95,66.18,192.86,-98.82,27.86
165.0,797.90,70.13,196.81,-94.87,31.81
180.0,625.41,54.97,181.65,-125.03,1.65
195.0,462.68,40.66,167.35,-154.34,-27.65
210.0,299.02,26.28,152.97,176.28,-57.03
225.0,118.29,10.40,137.08,145.40,-87.92
240.0,4063.27,357.12,123.81,117.12,-116.19
255.0,3881.58,341.15,107.84,86.15,-147.16
270.0,3698.90,325.10,91.79,55.10,-178.21
285.0,3568.07,313.60,80.29,28.60,155.29
300.0,3355.53,294.92,61.61,-5.08,121.61
300.0,3381.32,297.19,63.88,-2.81,123.88
315.0,3231.73,284.04,50.72,-30.96,95.72
330.0,3088.20,271.42,38.11,-58.58,68.11
345.0,2882.78,253.37,20.06,-91.63,35.06
