Ref_Angle,Raw_Value_Mean,Measured_Angle_Raw,Corrected_Angle,Raw_Error,Corrected_Error
0.0,2654.60,233.31,0.00,-126.69,0.00
15.0,2477.30,217.74,15.57,-157.26,0.57
30.0,2329.30,204.73,28.58,174.73,-1.42
45.0,2144.60,188.50,44.81,143.50,-0.19
45.0,2142.20,188.28,45.03,143.28,0.03
60.0,1994.40,175.29,58.02,115.29,-1.98
75.0,1826.00,160.49,72.82,85.49,-2.18
90.0,1634.30,143.64,89.67,53.64,-0.33
105.0,1476.20,129.75,103.56,24.75,-1.44
120.0,1310.80,115.21,118.10,-4.79,-1.90
135.0,1148.30,100.93,132.38,-34.07,-2.62
150.0,949.60,83.46,149.85,-66.54,-0.15
165.0,753.00,66.18,167.13,-98.82,2.13
165.0,797.90,70.13,163.18,-94.87,-1.82
180.0,625.40,54.97,178.34,-125.03,-1.66
195.0,462.70,40.66,192.65,-154.34,-2.35
210.0,299.00,26.28,207.03,176.28,-2.97
225.0,118.30,10.40,222.91,145.40,-2.09
240.0,4063.30,357.12,236.19,117.12,-3.81
255.0,3881.60,341.15,252.16,86.15,-2.84
270.0,3698.90,325.10,268.21,55.10,-1.79
285.0,3568.10,313.60,279.71,28.60,-5.29
300.0,3355.50,294.92,298.39,-5.08,-1.61
300.0,3381.30,297.19,296.12,-2.81,-3.88
315.0,3231.70,284.04,309.27,-30.96,-5.73
330.0,3088.20,271.42,321.89,-58.58,-8.11
345.0,2882.80,253.37,339.94,-91.63,-5.06
360.0,2715.70,238.68,354.63,-121.32,-5.37
