Timestamp,IMU1_Roll,IMU1_Pitch,IMU1_Yaw,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU2_Roll,IMU2_Pitch,IMU2_Yaw,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ
1782855262.780867,,,,,,,,,,-0.48,-0.28,-47.1,0.05,-0.08,9.79,0.09,-0.18,-0.14
1782855262.7859006,1.51,1.11,-62.88,-0.19,0.26,9.76,0.08,0.39,0.14,-0.48,-0.28,-47.1,0.06,-0.07,9.8,0.08,-0.16,-0.1
1782855262.790275,1.51,1.11,-62.89,-0.19,0.26,9.76,0.07,0.35,0.14,-0.48,-0.28,-47.11,0.06,-0.07,9.8,0.08,-0.19,-0.15
1782855262.7948658,1.51,1.11,-62.89,-0.19,0.27,9.77,0.1,0.38,0.13,-0.48,-0.28,-47.11,0.05,-0.08,9.79,0.1,-0.17,-0.13
1782855262.7992284,1.51,1.11,-62.9,-0.19,0.26,9.77,0.1,0.36,0.14,-0.48,-0.28,-47.11,0.06,-0.08,9.79,0.1,-0.16,-0.14
1782855262.847846,1.51,1.11,-62.9,-0.19,0.26,9.77,0.1,0.36,0.14,-0.51,-0.35,-48.04,0.06,-0.08,9.79,0.1,-0.19,-0.13
1782855262.9218633,1.52,1.17,-67.12,-0.19,0.26,9.77,0.07,0.36,0.14,-0.51,-0.35,-48.04,0.06,-0.08,9.79,0.09,-0.22,-0.11
1782855262.9958458,1.52,1.17,-67.13,-0.19,0.26,9.77,0.06,0.35,0.13,-0.51,-0.35,-48.04,0.06,-0.08,9.79,0.06,-0.18,-0.11
1782855263.0698986,1.52,1.17,-67.13,-0.19,0.26,9.77,0.07,0.37,0.13,-0.51,-0.35,-48.04,0.06,-0.08,9.8,0.1,-0.18,-0.11
1782855263.1438782,1.52,1.17,-67.14,-0.19,0.26,9.77,0.06,0.37,0.13,-0.51,-0.35,-48.04,0.05,-0.08,9.79,0.12,-0.18,-0.14
1782855263.217866,1.52,1.17,-67.14,-0.19,0.26,9.77,0.08,0.37,0.12,-0.51,-0.35,-48.05,0.05,-0.07,9.8,0.09,-0.17,-0.1
1782855263.2918472,1.52,1.17,-67.15,-0.19,0.26,9.77,0.09,0.37,0.15,-0.51,-0.35,-48.05,0.05,-0.07,9.8,0.09,-0.2,-0.12
1782855263.3658476,1.52,1.17,-67.15,-0.19,0.26,9.77,0.09,0.32,0.12,-0.51,-0.35,-48.05,0.06,-0.08,9.8,0.14,-0.2,-0.11
1782855263.439849,1.52,1.17,-67.16,-0.19,0.26,9.77,0.07,0.4,0.15,-0.51,-0.35,-48.05,0.06,-0.09,9.8,0.09,-0.17,-0.13
1782855263.51385,1.52,1.17,-67.17,-0.19,0.27,9.77,0.06,0.36,0.1,-0.51,-0.35,-48.05,0.05,-0.08,9.8,0.1,-0.16,-0.09
1782855263.5888755,1.52,1.17,-67.17,-0.19,0.26,9.76,0.08,0.36,0.14,-0.51,-0.35,-48.05,0.05,-0.08,9.8,0.09,-0.18,-0.15
1782855263.6619253,1.52,1.17,-67.17,-0.19,0.26,9.76,0.06,0.35,0.1,-0.51,-0.35,-48.05,0.05,-0.08,9.8,0.11,-0.15,-0.13
1782855263.7359,1.52,1.17,-67.18,-0.19,0.26,9.77,0.08,0.36,0.15,-0.51,-0.35,-48.05,0.05,-0.07,9.8,0.08,-0.19,-0.14
1782855263.80989,1.52,1.17,-67.18,-0.19,0.26,9.77,0.07,0.36,0.16,-0.51,-0.35,-48.06,0.06,-0.07,9.8,0.1,-0.17,-0.11
1782855263.8839,1.52,1.17,-67.19,-0.19,0.25,9.77,0.08,0.35,0.13,-0.51,-0.35,-48.06,0.05,-0.07,9.8,0.11,-0.2,-0.11
1782855263.9579687,1.52,1.17,-67.2,-0.19,0.26,9.77,0.08,0.37,0.11,-0.51,-0.35,-48.06,0.06,-0.08,9.79,0.08,-0.19,-0.14
1782855264.0318518,1.52,1.17,-67.2,-0.19,0.26,9.77,0.07,0.35,0.11,-0.51,-0.35,-48.06,0.05,-0.07,9.8,0.1,-0.18,-0.09
1782855264.1058831,1.52,1.17,-67.21,-0.19,0.26,9.78,0.06,0.37,0.09,-0.51,-0.35,-48.06,0.05,-0.08,9.8,0.11,-0.17,-0.12
1782855264.179852,1.52,1.17,-67.21,-0.19,0.26,9.77,0.12,0.38,0.17,-0.51,-0.35,-48.06,0.06,-0.08,9.8,0.1,-0.18,-0.15
1782855264.2539747,1.52,1.17,-67.22,-0.19,0.26,9.77,0.08,0.39,0.13,-0.51,-0.35,-48.06,0.06,-0.07,9.8,0.06,-0.2,-0.13
1782855264.3279011,1.52,1.17,-67.22,-0.19,0.26,9.77,0.05,0.37,0.14,-0.51,-0.35,-48.06,0.05,-0.08,9.79,0.1,-0.17,-0.07
1782855264.4028378,1.52,1.17,-67.23,-0.19,0.26,9.77,0.07,0.39,0.14,-0.51,-0.35,-48.06,0.05,-0.08,9.8,0.07,-0.16,-0.11
1782855264.4760604,1.52,1.17,-67.23,-0.19,0.25,9.77,0.07,0.39,0.12,-0.51,-0.35,-48.06,0.05,-0.07,9.8,0.1,-0.16,-0.14
1782855264.5498989,1.52,1.17,-67.24,-0.19,0.26,9.78,0.08,0.37,0.13,-0.51,-0.35,-48.07,0.06,-0.09,9.81,0.07,-0.18,-0.1
1782855264.6243358,1.52,1.17,-67.24,-0.19,0.26,9.77,0.07,0.36,0.13,-0.51,-0.35,-48.07,0.06,-0.07,9.8,0.1,-0.22,-0.12
