Ref_Angle,IMU1_Raw,IMU1_Corrected,IMU1_Error,IMU2_Raw,IMU2_Corrected,IMU2_Error
0.0,0.77,0.0,0.0,-0.5,0.0,0.0
10.0,9.92,9.15,-0.8499999999999996,9.16,9.66,-0.33999999999999986
20.0,20.51,19.740000000000002,-0.259999999999998,19.98,20.48,0.4800000000000004
30.0,29.52,28.75,-1.25,29.27,29.77,-0.23000000000000043
40.0,39.7,38.93,-1.0700000000000003,39.63,40.13,0.13000000000000256
50.0,50.95,50.18,0.17999999999999972,50.98,51.48,1.4799999999999969
60.0,59.53,58.76,-1.240000000000002,59.84,60.34,0.3400000000000034
70.0,69.99,69.22,-0.7800000000000011,70.29,70.79,0.7900000000000063
80.0,79.43,78.66000000000001,-1.3399999999999892,79.58,80.08,0.0799999999999983
90.0,89.25,88.48,-1.519999999999996,89.39,89.89,-0.10999999999999943
